#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
creature_human;Human;Humain;Mensch;;;;;;;;;;;x
creature_furbolg;Furbolg;Furbolg;Furbolg;;;;;;;;;;;x
creature_furbolg_desc;This character is a furbolg. Furbolgs are a hulking, ancient race of bear-men who live in northern Kalimdor and in Northrend.;;Dieser Charakter ist ein Furbolg. Furbolgs sind eine ungeschickte, alte Rasse von Bärenmenschen, die im Norden Kalimdors und in Northrend leben.;;;;;;;;;;;x
creature_vrykul;Vrykul;Vrykul;Vrykul;;;;;;;;;;;x
creature_vrykul_desc;This character is a vrykul. Vrykuls are a race of fearsome half-giant warriors native to the Howling Fjord, located in southeastern Northrend. They are the progenitors of the human race, who were originally vrykul offspring that were born weak and deformed as a result of the Curse of Flesh.;;Dieser Charakter ist ein Vrykul. Vrykuls sind eine Rasse von furchterregenden halbgroßen Kriegern, die im Heulenden Fjord im Südosten Northrends beheimatet sind. Sie sind die Vorfahren der menschlichen Rasse, welche ursprünglich Nachkommen der Vrykul waren, die schwach und deformiert durch den Fluch des Fleisches geboren wurden.;;;;;;;;;;;x
creature_kvaldir;Kvaldir;Kvaldir;Kvaldir;;;;;;;;;;;x
creature_kvaldir_desc;This character is a kvaldir. Kvaldirs are the spirits of fearsome vrykul warriors or seafaring raiders who roam the seas raiding ships and coastal settlements.;;Dieser Charakter ist ein Kvaldir. Kvaldirs sind die Geister furchterregender Vrykul-Krieger oder Seeräuber, die auf den Meeren umherstreifen und Schiffe und Küstensiedlungen überfallen.;;;;;;;;;;;x
creature_taunka;Taunka;Taunka;Taunka;;;;;;;;;;;x
creature_taunka_desc;This character is a taunka. Taunkas are an ancient offshoot of the yaungol and relatives to the tauren who have adapted to the harsh environment in Northrend.;;Dieser Charakter ist eine Taunka. Taunkas sind uralte Abkömmlinge der Yaungol und verwandt mit den Tauren, die sich an die raue Umgebung in Northrend angepasst haben.;;;;;;;;;;;x
creature_harpy;Harpy;Harpie;Harpyie;;;;;;;;;;;x
creature_harpy_desc;This character is a harpy. Harpies are vicious, flying creatures that resemble a cross between a night elf and a hunting bird, with long talons for feet and large graceful wings for arms. They destroy the environments in which they settle, killing every creature they encounter and despoiling the land to build nests noted for their noxious odor. Harpies originally hail from the Stonetalon Mountains, but have since spread out across Kalimdor, Northrend, and the Broken Isles.;;Dieser Charakter ist eine Harpyie. Harpyien sind bösartige, fliegende Kreaturen, die einer Kreuzung zwischen einem Nachtelfen und einem Jagdvogel ähneln, mit langen Krallen als Füßen und großen anmutigen Flügeln als Arme. Sie zerstören die Umgebung, in der sie sich niederlassen, töten jede Kreatur, der sie begegnen, und verwüsten das Land, um Nester zu bauen, die für ihren unangenehmen Geruch bekannt sind. Harpyien stammen ursprünglich aus den Stonetalon Bergen, haben sich aber inzwischen über Kalimdor, Northend und die gebrochenen Inseln ausgebreitet.;;;;;;;;;;;x
creature_magnataur;Magnataur;Magnataur;Magnataure;;;;;;;;;;;x
creature_magnataur_desc;This character is a magnataur. Magnataur are massive creatures that live in Northrend. They have the torso of a giant attached to the body of a mammoth. Like the centaur and Keepers of the Grove, they are relatives of the demigod Cenarius. They are notoriously long-lived, though lacking in patience, and are rumored to engage in cannibalism when food is scarce. They are vicious, brutal, and uncaring. Only the strongest and meanest survive.;;Dieser Charakter ist ein Magnataur. Magnatauren sind massige Kreaturen, die in Northrend leben. Sie haben den Oberkörper eines Riesen, der mit dem Körper eines Mammuts verbunden ist. Wie der Zentaur und die Wächter des Hains sind sie Verwandte des Halbgotts Cenarius. Sie sind bekanntermaßen langlebig, wenn auch ohne Geduld, und es wird gemunkelt, dass sie sich an Kannibalismus beteiligen, wenn die Nahrung knapp ist. Sie sind bösartig, brutal und rücksichtslos. Nur die Stärksten und Gemeinsten überleben.;;;;;;;;;;;x
aspect_of_nature;Aspect of Nature;Aspect de la Nature;Aspekt der Natur;;;;;;;;;;;x
aspect_of_nature_desc;"You are bound to the waking Dream of Creation. Nature is your realm, and all things have caught glimpses of the Emerald Dream when they sleep. You see them all, Ysera. And they see you, though they may not know it. Like the Life-Binder, you touch all living beings, and sing to them the songs of creation and interconnectedness." \n- Eonar the Life-Binder;;Du bist an den erwachenden Traum der Schöpfung gebunden. Die Natur ist dein Reich, und alle Dinge haben Einblicke in den smaragdgrünen Traum erhalten, wenn sie schlafen. Du siehst sie alle, Ysera. Und sie sehen dich, obwohl sie es vielleicht nicht wissen. Wie der Lebensbinder berührst du alle Lebewesen und singst ihnen die Lieder der Schöpfung und der Verbundenheit vor. \n- Eonar, der Lebensbinder;;;;;;;;;;;x
aspect_of_magic;Aspect of Magic;Aspect de la Magie;Aspekt der Magie;;;;;;;;;;;x
aspect_of_magic_desc;"I believe that you will find that my gift to you is not just a profound duty--which it is--but also a delight--which it is! Magic must be regulated, managed, and controlled. But it must also be appreciated and valued and not hoarded. Such is the contradiction you must deal with. May you be dutiful...and joyous both." \n- Norgannon the Dreamweaver;;Ich glaube, dass du feststellen wirst, dass mein Geschenk an dich nicht nur eine tiefe Pflicht ist - was es ist - sondern auch eine Freude - was es ist! Magie muss reguliert, gelenkt und kontrolliert werden. Aber sie muss auch geschätzt und gewürdigt und darf nicht gehortet werden. Das ist der Widerspruch, mit dem du umgehen musst. Mögest du pflichtbewusst sein... und zugleich glücklich. \- Norgannon, der Traumweber;;;;;;;;;;;x
aspect_of_time;Aspect of Time;Aspect du Temps;Aspekt der Zeit;;;;;;;;;;;x
aspect_of_time_desc;"Unto you is charged the great task of keeping the purity of time. Know that there is only one true timeline, though there are those who would have it otherwise. You must protect it. Without the truth of time as it is meant to unfold, more will be lost than you can possibly imagine. The fabric of reality will unravel. It is a heavy task--the base of all tasks of this world, for nothing can transpire without time." \n- Aman'Thul the Highfather;;Dir wird die große Aufgabe übertragen, die Reinheit der Zeit zu bewahren. Wisse, dass es nur eine wahre Zeitlinie gibt, obwohl es diejenigen gibt, die es anders haben wollen. Du musst sie beschützen. Ohne die Wahrheit der Zeit, wie sie sich entfalten soll, wird mehr verloren gehen, als du dir vorstellen kannst. Das Gewebe der Realität wird sich auflösen. Es ist eine schwere Aufgabe - die Grundlage aller Aufgaben dieser Welt, denn nichts kann ohne Zeit passieren. \- Aman'Thul, der Hochvater;;;;;;;;;;;x
;;;;;;;;;;;;;;x
cat_form;Cat Form;Forme féline;Katzenform;;;;;;;;;;;x
cat_form_desc;Empowered by the great Ancient Guardian Ashamane, this character has chosen to take the form of a ferocious feline. In this form, the druid is quick and deadly with both fang and claw.;;Ermächtigt durch den großen alten Wächter Ashamane, hat sich dieser Charakter entschieden, die Form einer Wildkatze anzunehmen. In dieser Form ist der Druide schnell und tödlich mit Reißzähnen und Klauen.;;;;;;;;;;;x
bear_form;Bear Form;Forme d'ours;Bärenform;;;;;;;;;;;x
bear_form_desc;Empowered by the great Ancient Guardian Ursoc, this character has chosen to take the form of a wild bear. This brings about a druid with a powerful defense and sharp claws to match.;;Dieser Charakter, der von dem großen alten Wächter Ursoc ermächtigt wurde, hat sich dafür entschieden, die Form eines wilden Bären anzunehmen. Dies führt dazu, dass der Druide über eine starke Verteidigung und scharfe Krallen verfügt.;;;;;;;;;;;x
talon_form;Talon Form;Forme de la serre;Klauenform;;;;;;;;;;;x
talon_form_desc;Empowered by the great Ancient Guardian Aviana, this character has chosen to take the form of a storm crow. This druid has become capable of quick flight and has taken upon themselves the ability to control the winds against their enemies.;;Dieser Charakter, der von dem großen alten Wächter Aviana ermächtigt wurde, hat sich entschieden, die Form einer Sturmkrähe anzunehmen. Dieser Druide ist zum schnellen Fliegen fähig geworden und hat sich die Fähigkeit angeeignet, die Winde gegen ihre Feinde zu kontrollieren.;;;;;;;;;;;x
stag_form;Stag Form;Forme de cerf;Hirschform;;;;;;;;;;;x
stag_form_desc;Empowered by the great Ancient Guardian Malorne, this character has chosen to take the form of a stag. While in this form, the druid is fast yet deadly with powerful antlers to meet any foe in battle.;;Ermächtigt durch den großen alten Wächter Malorne hat sich dieser Charakter dafür entschieden, die Form eines Hirsches anzunehmen. In dieser Form ist der Druide schnell und doch tödlich mit seinem mächtigen Geweih, um jedem Gegner im Kampf zu begegnen.;;;;;;;;;;;x
pack_form;Pack Form;Forme de la meute;Rudelform;;;;;;;;;;;x
pack_form_desc;Empowered by the great Ancient Guardian Goldrinn, this character has chosen to take the form of a wolf. Excelling more than any other druid in physical combat, this druid risks losing themselves in rage much like the old Druids of the Pack.;;Dieser Charakter, der von dem großen alten Wächter Goldrinn ermächtigt wurde, hat sich dafür entschieden, die Form eines Wolfes anzunehmen. Dieser Druide zeichnet sich mehr als jeder andere Druide im physischen Kampf aus und riskiert, sich in Wut zu verlieren, ähnlich wie die alten Druiden des Rudels.;;;;;;;;;;;x
master_cat_form;Cat Form;Forme féline;Katzenform;;;;;;;;;;;x
master_cat_form_desc;Empowered by the great Ancient Guardian Ashamane, this character has chosen to take the form of a ferocious feline. In this form, the druid is quick and deadly with both fang and claw.;;Ermächtigt durch den großen alten Wächter Ashamane, hat sich dieser Charakter entschieden, die Form einer Wildkatze anzunehmen. In dieser Form ist der Druide schnell und tödlich mit Reißzähnen und Klauen.;;;;;;;;;;;x
master_bear_form;Bear Form;Forme d'ours;Bärenform;;;;;;;;;;;x
master_bear_form_desc;Empowered by the great Ancient Guardian Ursoc, this character has chosen to take the form of a wild bear. This brings about a druid with a powerful defense and sharp claws to match.;;Dieser Charakter, der von dem großen alten Wächter Ursoc ermächtigt wurde, hat sich dafür entschieden, die Form eines wilden Bären anzunehmen. Dies führt dazu, dass der Druide über eine starke Verteidigung und scharfe Krallen verfügt.;;;;;;;;;;;x
master_talon_form;Talon Form;Forme de la serre;Klauenform;;;;;;;;;;;x
master_talon_form_desc;Empowered by the great Ancient Guardian Aviana, this character has chosen to take the form of a storm crow. This druid has become capable of quick flight and has taken upon themselves the ability to control the winds against their enemies.;;Dieser Charakter, der von dem großen alten Wächter Aviana ermächtigt wurde, hat sich entschieden, die Form einer Sturmkrähe anzunehmen. Dieser Druide ist zum schnellen Fliegen fähig geworden und hat sich die Fähigkeit angeeignet, die Winde gegen ihre Feinde zu kontrollieren.;;;;;;;;;;;x
cat_form_mastered;Master of Cat Form;Maître de la forme féline;Meister der Katzenform;;;;;;;;;;;x
cat_form_mastered_desc;This druid has become a master of the cat form and acts as a true avatar of the great Guardian Ashamane.;;Dieser Druide ist zu einem Meister der Katzenform geworden und fungiert als wahrer Avatar des großen Wächter Ashamane.;;;;;;;;;;;x
bear_form_mastered;Master of Bear Form;Maître de la forme d'ours;Meister der Bärenform;;;;;;;;;;;x
bear_form_mastered_desc;This druid has become a master of the bear form and acts as a true avatar of the great Guardian Ursoc.;;Dieser Druide ist zu einem Meister der Bärenform geworden und fungiert als wahrer Avatar des großen Wächters Ursoc.;;;;;;;;;;;x
talon_form_mastered;Master of Talon Form;Maître de la forme de la serre;Meister der Klauenform;;;;;;;;;;;x
talon_form_mastered_desc;This druid has become a master of the talon form and acts as a true avatar of the great Guardian Aviana.;;Dieser Druide ist zu einem Meister der Klauenform geworden und fungiert als wahrer Avatar der großen Wächterin Aviana.;;;;;;;;;;;x
stag_form_mastered;Master of Stag Form;Maître de la forme de cerf;Meister der Hirschform;;;;;;;;;;;x
stag_form_mastered_desc;This druid has become a master of the stag form and acts as a true avatar of the great Guardian Malorne.;;Dieser Druide ist zu einem Meister der Hirschform geworden und fungiert als wahrer Avatar des großen Wächter Malorne.;;;;;;;;;;;x
pack_form_mastered;Master of Pack Form;Maître de la forme de la meute;Meister der Rudelform;;;;;;;;;;;x
pack_form_mastered_desc;This druid has become a master of the pack form and acts as a true avatar of the great Guardian Goldrinn.;;Dieser Druide ist zu einem Meister der Rudelform geworden und fungiert als wahrer Avatar des großen Wächters Goldrinn.;;;;;;;;;;;x
in_emerald_dream;In Emerald Dream;Dans le Rêve dÉmeraude;Im smaragdgrünen Traum;;;;;;;;;;;x
in_emerald_dream_desc;This character is currently in the Emerald Dream.;Ce personnage se trouve actuellement dans le Rêve dÉmeraude;Dieser Charakter befindet sich derzeit im smaragdgrünen Traum.;;;;;;;;;;;x
;;;;;;;;;;;;;;x
subclass_moon_priest;Priestess of the Moon;Prêtresse de la Lune;Priesterin des Mondes;;;;;;;;;;;x
subclass_moon_priest_desc;The Priestesses of Elune compose the elite ranks of the Kaldorei clergy. They are often phenomenal leaders, combatants, and healers. Guided by the Moon Goddess of the Kaldorei, Elune, the will of Her Priestess is unwavering.;;Die Priesterinnen von Elune bilden die Elitetruppen des Kaldorei-Klerus. Sie sind oft phänomenale Führer, Kämpfer und Heiler. Geleitet von der Mondgöttin der Kaldorei, Elune, ist der Wille ihrer Priesterin unerschütterlich.;;;;;;;;;;;x
;;;;;;;;;;;;;;x
patron;Patron;;Patreon;;;;;;;;;;;x
patron_desc;Thank you!;Merci !;Dankeschön!;;;;;;;;;;;x
cannot_marry_trait;Can not Marry;Ne peut se marier;Kann nicht heiraten;;;;;;;;;;;x
cannot_marry_trait_desc;This character can not marry because of its race or because it couldn't find its soul mate.;;Dieser Charakter kann wegen seiner Rasse oder weil er seinen Seelenverwandten nicht finden konnte, nicht heiraten.;;;;;;;;;;;x
;;;;;;;;;;;;;;x
creature_dryad;Dryad;Dryade;Dryade;;;;;;;;;;;x
creature_dryad_desc;The Dryads and Keepers of the Grove are collectively known as the Children of Cenarius, as the name implies they are descended from the demigod Cenarius. Like their parent, they possess a natural aptitude for nature magic. They use their powers to protect the wilds and while they are wary of intruders they are generally kind and welcoming to those with no ill intent. But they will without hesitation give their lives to protect nature from those that would defile it.;;Die Dryaden und Hüter des Hains sind gemeinsam als die Kinder des Cenarius bekannt, wie der Name schon andeutet, sind sie vom Halbgott Cenarius abstammend. Wie ihre Eltern besitzen sie eine angeborene Begabung für Naturmagie. Sie nutzen ihre Kräfte, um die Wildnis zu schützen, und während sie sich vor Eindringlingen hüten, sind sie im Allgemeinen gutherzig und freundlich zu denen ohne böse Absicht. Aber sie werden ohne zu zögern ihr Leben geben, um die Natur vor denen zu schützen, die sie entweihen würden.;;;;;;;;;;;x
creature_highborne;Highborne Elf;Bien-né;Hochgebohrener;;;;;;;;;;;x
creature_highborne_desc;This character is a Highborne Night elf. During the time of the ancient Kaldorei empire these elves were the ruling class of the great empire. Today however, they are mistrusted and generally blamed for ruining the world by summoning the Legion. Unlike the Kaldorei, the Highborne continue to use Arcane magic freely during their daily lives and are subject to the same addiction and withdrawal as High elves.;;Dieser Charakter ist ein Hochgeborener. Während der Zeit des alten Kaldorei-Reiches waren diese Elfen die herrschende Klasse des großen Reiches. Heute werden sie jedoch misstrauisch behandelt und allgemein dafür verantwortlich gemacht, die Welt durch die Herbeirufung der Legion ruiniert zu haben. Im Gegensatz zu den Kaldorei nutzen die Hochgeborenen die arkane Magie im Alltag weiterhin frei und sind der gleichen Sucht und dem gleichen Entzug ausgesetzt wie die Hochelfen.;;;;;;;;;;;x
creature_frostnymph;Frost Nymph;Nymphe de givre;Frostnymphe;;;;;;;;;;;x
creature_frostnymph_desc;The Frost Nymphs are an offshoot of the Dryads that primarily live in cold regions. They are able to use cold elemental magic alongside nature magic. Like their temperate cousins, they are dedicated to protecting nature and the land where they reside.;;Die Frostnymphen sind ein Nebenzweig der Dryaden, die hauptsächlich in kalten Regionen leben. Sie sind in der Lage, kalte Elementarmagie neben Naturmagie zu nutzen. Wie ihre gemäßigten Cousins widmen sie sich dem Schutz der Natur und des Landes, in dem sie leben.;;;;;;;;;;;x
creature_infinite_whelp;Infinite Whelp;Dragonnet infini;Unendlichkeitswelpe;;;;;;;;;;;x
creature_infinite_whelp_desc;Dragon whelps are the smallest member of the dragonkin species, representing the offspring of a brood. As a result, they are easily the weakest variation of dragons. In most cases however, where there are whelps, their larger cousins are close by.\n\nInfinite dragons are a mysterious corrupted Dragonflight that has only recently begun to appear. Like the Bronze flight they are capable of time traveling, but unlike the Bronze flight they have no qualms about altering historical events, and the two are often opposing each other. In terms of size and scale, the Bronze and the Infinites are almost identical, but the Infinites are easy to distinguish from the Bronze due to their dark grey color, the strange white glow underneath their scales, and how it appears that their scales are falling off in large flakes only to dissipate and appear once more on the Dragon's body.;;Drachenwelpen sind die kleinsten Mitglieder der Drachenart und stellen die Nachkommen einer Brut dar. Infolgedessen sind sie mit Abstand die schwächste Variante von Drachen. In den meisten Fällen, wo es Welpen gibt, sind ihre größeren Cousins jedoch in der Nähe.\n\nDie unendlichen Drachen sind ein mysteriöser, verdorbener Drachenschwarm, der erst kürzlich aufgetaucht ist. Wie der bronzene Schwarm sind sie in der Lage, durch die Zeit zu reisen, aber im Gegensatz zum bronzenen Schwarm haben sie keine Bedenken, geschichtliche Ereignisse zu verändern, und die beiden sind sich oft nicht einig. In Größe und Umfang sind die Bronzenen und die Unendlichen fast identisch, aber die Unendlichen sind leicht von den Bronzenen zu unterscheiden, da erstere eine dunkelgraue Farbe aufweisen, ein seltsames weißes Glühen unter ihren Schuppen hervorscheint, und weil ihre Schuppen in großen Flocken abfallen, nur um sich aufzulösen und wieder auf dem Körper des Drachen erscheinen.;;;;;;;;;;;x
creature_infinite_drake;Infinite Drake;Drake infini;Unendlicher Drachling;;;;;;;;;;;x
creature_infinite_drake_desc;Drakes are dragons that are still relatively young in comparison to their ancient brethren.\n\nInfinite dragons are a mysterious corrupted Dragonflight that has only recently begun to appear. Like the Bronze flight they are capable of time traveling, but unlike the Bronze flight they have no qualms about altering historical events, and the two are often opposing each other. In terms of size and scale, the Bronze and the Infinites are almost identical, but the Infinites are easy to distinguish from the Bronze due to their dark grey color, the strange white glow underneath their scales, and how it appears that their scales are falling off in large flakes only to dissipate and appear once more on the Dragon's body.;;Drachlinge sind Drachen, die im Vergleich zu ihren alten Brüdern noch relativ jung sind.\n\nDie unendlichen Drachen sind ein mysteriöser, verdorbener Drachenschwarm, der erst kürzlich aufgetaucht ist. Wie der bronzene Schwarm sind sie in der Lage, durch die Zeit zu reisen, aber im Gegensatz zum bronzenen Schwarm haben sie keine Bedenken, geschichtliche Ereignisse zu verändern, und die beiden sind sich oft nicht einig. In Größe und Umfang sind die Bronzenen und die Unendlichen fast identisch, aber die Unendlichen sind leicht von den Bronzenen zu unterscheiden, da erstere eine dunkelgraue Farbe aufweisen, ein seltsames weißes Glühen unter ihren Schuppen hervorscheint, und weil ihre Schuppen in großen Flocken abfallen, nur um sich aufzulösen und wieder auf dem Körper des Drachen erscheinen.;;;;;;;;;;;x
creature_infinite_dragon;Infinite Dragon;Dragon infini;Unendlicher Drache;;;;;;;;;;;x
creature_infinite_dragon_desc;Dragon is both the name for the race as a whole and the short title for the mature-aged dragon.\n\nInfinite dragons a mysterious corrupted Dragonflight that has only recently begun to appear. Like the Bronze flight they are capable of time traveling, but unlike the Bronze flight they have no qualms about altering historical events, and the two are often opposing each other. In terms of size and scale, the Bronze and the Infinites are almost identical, but the Infinites are easy to distinguish from the Bronze due to their dark grey color, the strange white glow underneath their scales, and how it appears that their scales are falling off in large flakes only to dissipate and appear once more on the Dragon's body.;;Drache ist sowohl der Name für die gesamte Rasse als auch der Kurztitel für den reifen Drachen.\n\nDie unendlichen Drachen sind ein mysteriöser, verdorbener Drachenschwarm, der erst kürzlich aufgetaucht ist. Wie der bronzene Schwarm sind sie in der Lage, durch die Zeit zu reisen, aber im Gegensatz zum bronzenen Schwarm haben sie keine Bedenken, geschichtliche Ereignisse zu verändern, und die beiden sind sich oft nicht einig. In Größe und Umfang sind die Bronzenen und die Unendlichen fast identisch, aber die Unendlichen sind leicht von den Bronzenen zu unterscheiden, da erstere eine dunkelgraue Farbe aufweisen, ein seltsames weißes Glühen unter ihren Schuppen hervorscheint, und weil ihre Schuppen in großen Flocken abfallen, nur um sich aufzulösen und wieder auf dem Körper des Drachen erscheinen.;;;;;;;;;;;x
creature_infinite_wyrm;Infinite Wyrm;Wyrm infini;Unendlicher Wyrm;;;;;;;;;;;x
creature_infinite_wyrm_desc;Wyrm is the elder stage of the dragon life cycle.\n\nInfinite dragons are a mysterious corrupted Dragonflight that has only recently begun to appear. Like the Bronze flight they are capable of time traveling, but unlike the Bronze flight they have no qualms about altering historical events, and the two are often opposing each other. In terms of size and scale, the Bronze and the Infinites are almost identical, but the Infinites are easy to distinguish from the Bronze due to their dark grey color, the strange white glow underneath their scales, and how it appears that their scales are falling off in large flakes only to dissipate and appear once more on the Dragon's body.;;Die ältesten Drachen werden Wyrme genannt.\n\nDie unendlichen Drachen sind ein mysteriöser, verdorbener Drachenschwarm, der erst kürzlich aufgetaucht ist. Wie der bronzene Schwarm sind sie in der Lage, durch die Zeit zu reisen, aber im Gegensatz zum bronzenen Schwarm haben sie keine Bedenken, geschichtliche Ereignisse zu verändern, und die beiden sind sich oft nicht einig. In Größe und Umfang sind die Bronzenen und die Unendlichen fast identisch, aber die Unendlichen sind leicht von den Bronzenen zu unterscheiden, da erstere eine dunkelgraue Farbe aufweisen, ein seltsames weißes Glühen unter ihren Schuppen hervorscheint, und weil ihre Schuppen in großen Flocken abfallen, nur um sich aufzulösen und wieder auf dem Körper des Drachen erscheinen.;;;;;;;;;;;x
forest_demigod;Forest Lord;Le Seigneur de la forêt;Herr des Waldes;;;;;;;;;;;x
forest_demigod_desc;Cenarius, Lord of the Forest and patron of many druids, is one of the most powerful and influential demigods of Azeroth. Worshipped by the night elves since their early history, the Son of Malorne taught the elves to be druids and embrace nature, as opposed to the arcane-inclined Highborne and the religiously-inclined Sisterhood of Elune. He served as a commander of the forces of Kalimdor in the War of the Ancients after the death of his father. He has continued serving as a teacher and protector of the elves and their forests for over 10,000 years.;;Cenarius, Herr des Waldes und Schutzpatron vieler Druiden, ist einer der mächtigsten und einflussreichsten Halbgötter Azeroths. Der Sohn von Malorne, der von den Nachtelfen seit ihrer Frühgeschichte verehrt wird, lehrte die Elfen, Druiden zu werden und die Natur zu respektieren, im Gegensatz zu den dem Arkanen zugeneigten Hochgeborenen und der religiös geprägten Schwesternschaft von Elune. Nach dem Tod seines Vaters diente er als Kommandant der Streitkräfte von Kalimdor im Krieg der Urahnen. Seit über 10.000 Jahren dient er weiterhin als Lehrer und Beschützer der Elfen und ihrer Wälder.;;;;;;;;;;;x
creature_vulpera;Vulpera;Vulpera;Vulpera;;;;;;;;;;;x
creature_vulpera_desc;The Vulpera are a diminuitive race of scavengers primarily living in the dunes of Vol'dun on Zandalar. They are a resourceful and skilled people that can survive in the most harsh conditions.;;Die Vulpera sind eine kleine Rasse von Aasfressern, die hauptsächlich in den Dünen von Vol'dun auf Zandalar leben. Sie sind ein einfallsreiches und talentiertes Volk, das unter den härtesten Bedingungen überleben kann.;;;;;;;;;;;x
creature_titan_keeper;Titan Keeper;;Titanischer Wächter;;;;;;;;;;;x
creature_titan_keeper_desc;One of the nine Titan Keepers imbued by members of the Pantheon with their powers, these watchers are responsible for the safeguarding of Azeroth, and they would go on to lead the titan-forged armies against the Black Empire. Many of them are simply thought to be legends, but their impact upon the history and very safety of Azeroth cannot be denied.;;Als einer der neun titanischen Wächter, die von den Mitgliedern des Pantheons mit ihren Kräften durchdrungen wurden, sind diese Beobachter für den Schutz Azeroths verantwortlich, und sie würden die titangeschmiedeten Armeen weiterhin gegen das schwarze Imperium führen. Viele von ihnen gelten schlichtweg als Legenden, aber ihre Auswirkungen auf die Geschichte und die Sicherheit Azeroths lassen sich nicht leugnen.;;;;;;;;;;;x
prime_designate;Prime Designate;Primat désigné;Erster Wächter;;;;;;;;;;;x
prime_designate_desc;Together with the Keeper Tyr, Odyn battled and defeated Ragnaros the Firelord and plotted the downfall of the Old God Yogg-Saron. For his tenacity and leadership in battle against the Black Empire, the Pantheon granted him the role of Prime Designate of Azeroth, making him the leader of the titan-forged, the watcher in charge of Yogg-Saron's imprisonment, and controller of the Forge of Wills.;;Zusammen mit dem Hüter Tyr kämpfte und besiegte Odyn Ragnaros, den Feuerfürsten, und plante den Untergang des alten Gottes Yogg-Saron. Für seine Hartnäckigkeit und Führung im Kampf gegen das schwarze Imperium gewährte ihm das Pantheon die Rolle des ersten Wächters von Azeroth, was ihn zum Anführer der Titangeschmiedeten, zum Bewachter für die Inhaftierung von Yogg-Saron und zum Kontrolleur der Seelenschmiede machte.;;;;;;;;;;;x
creature_sethrak;Sethrak;Sethrak;Sethrak;;;;;;;;;;;x
creature_sethrak_desc;The Sethrak are a race of serpent people living primarily in the deserts of Vol'dun on Zandalar. They are inteligent and skillful people and they are the descendants of the serpent loa Sethraliss.;;Die Sethrak sind eine Rasse von Schlangenmenschen, die hauptsächlich in den Wüsten von Vol'dun auf Zandalar leben. Sie sind ein intelligentes und geschicktes Volk, und sie sind die Nachkommen des Schlangen-Loa Sethraliss.;;;;;;;;;;;x
odyn_trait;Odyn;Odyn;Odyn;;;;;;;;;;;x
amanthul_trait;Aman'thul;Aman'thul;Aman'thul;;;;;;;;;;;x
creature_titan;Titan;Titan;Titan;;;;;;;;;;;x
creature_titan_desc;The titans are a race of colossal, planet-sized cosmic beings composed of the universe's primordial matter and pure arcane energy. They roam across the cosmos like mobile worlds, capable of the very art of creation itself. Titans used this immense power to find and awaken other titans. Starting with Aman'thul, a Pantheon of titans was formed, their mission being to watch over the universe as bastions and defenders of pure good as they searched for others of their kind.;;Die Titanen sind eine Rasse kolossaler, planetarischer kosmischer Wesen, die aus der Urmaterie des Universums und reiner arkaner Energie bestehen. Sie durchstreifen den Kosmos wie mobile Welten, die in der Lage sind, selbst die Kunst der Schöpfung zu betreiben. Die Titanen nutzten diese immense Kraft, um andere Titanen zu entdecken und zu erwecken. Ausgehend von Aman'thul wurde ein Pantheon von Titanen gebildet, deren Ziel es war, das Universum als Bastionen und Verteidiger des reinen Guten zu überwachen, während sie nach anderen ihrer Art suchten.;;;;;;;;;;;x
dark_titan;Dark Titan;Titan Noir;Dunkler Titan;;;;;;;;;;;x
dark_titan_desc;Dark titans refers to a titan corrupted to antagonize the forces of good. However in this context, a dark titan refers to a titan subjugated by the powers of Fel, whether it be Sargeras the lord of the Burning Legion, or his avatar lieutenant, Aggramar.;;Dunkle Titanen bezeichnen Titanen, die verdorben wurden, um die Kräfte des Guten zu bekämpfen. In diesem Zusammenhang bezieht sich ein dunkler Titan jedoch auf einen Titanen, der durch die Macht des Fel unterworfen ist, sei es Sargeras, der Herr der brennenden Legion, oder sein Avatar-Leutnant, Aggramar.;;;;;;;;;;;x
creature_watcher;Titan Watcher;;Titanischer Beobachter;;;;;;;;;;;x
creature_watcher_desc;The titan watchers are the first generation of the titan-forged. These giant humanoids were divided into the sleek metal Aesir, and the stone Vanir. These two types of watchers held power over storm and the earth, respectively. ;;Die titanischen Beobachter stellen die erste Generation der Titangeschmiedeten dar. Diese riesigen Humanoiden wurden in das glatte Metall Aesir und den Stein Vanir unterteilt. Diese beiden Arten von Beobachtern beherrschten den Sturm, bzw. die Erde.;;;;;;;;;;;x
skeleton;Skeleton;Squelette;Skelett;;;;;;;;;;;x
skeleton_desc;Skeletons can be reanimated as undead through magic. While gangly and seemingly frail, skeletons can possess superhuman strength and be highly resistant to most physical attacks. Some have retained their consciousness and intellect, and are capable of attacking with weapons and magic;;Skelette können durch Magie als Untote reanimiert werden. Während sie schlaksig und scheinbar gebrechlich sind, können Skelette übermenschliche Kräfte besitzen und sehr widerstandsfähig gegen die meisten körperlichen Angriffe sein. Einige haben ihr Bewusstsein und ihren Intellekt bewahrt und sind in der Lage, mit Waffen und Magie anzugreifen.;;;;;;;;;;;x
creature_observer;Observer;Observateur;Beobachter;;;;;;;;;;;x
